,PC1,PC2,Group
0,-0.5342456393949381,-2.300911137976245,ACC-tumor
1,0.8809461215483981,-0.8948521532172727,ACC-tumor
2,4.324862032868317,2.7109153107956834,ACC-tumor
3,-1.7445913625213374,-1.0501849960883465,ACC-tumor
4,2.341563415924231,0.4411230020320124,ACC-tumor
5,18.80402040908389,10.973131603675926,ACC-tumor
6,-1.8737492911164177,-1.1302009051986146,ACC-tumor
7,0.9536534234598832,-0.02468141987210262,ACC-tumor
8,-2.0994071646101533,-1.953961733124409,ACC-tumor
9,0.8126453655789103,-0.7261575585938921,ACC-tumor
10,5.382156247216684,0.8711918001571137,ACC-tumor
11,0.07092940130003444,-0.3317817010407895,ACC-tumor
12,-1.557451201719869,1.785991880797077,ACC-tumor
13,-2.030385421074141,-2.216928457272663,ACC-tumor
14,-4.570558688511601,-3.597960252666202,ACC-tumor
15,-1.7416718681304415,0.2774599617971667,ACC-tumor
16,-0.48105125788490577,0.007342454988057766,ACC-tumor
17,-0.8322604988091247,-3.545470888110967,ACC-tumor
18,3.4613905667292615,1.7360340801112257,ACC-tumor
19,0.8110809761039797,-0.23383532950633293,ACC-tumor
20,-1.1506857810195517,-1.9969501669218737,ACC-tumor
21,1.1100434633363863,0.643499490860165,ACC-tumor
22,-0.9638359174320071,-1.0338391646565719,ACC-tumor
23,-0.5888808425473502,-1.496483993432575,ACC-tumor
24,0.1763159829332866,-2.873811144582133,ACC-tumor
25,-0.7647949911872,1.2780663555971394,ACC-tumor
26,3.555258202888443,-0.3894974631812821,ACC-tumor
27,5.067685098527204,3.134914193975034,ACC-tumor
28,5.653213871294704,2.9109914203844296,ACC-tumor
29,2.3473445795397825,-1.0781012650435797,ACC-tumor
30,3.1993344105528836,0.9311809254114906,ACC-tumor
31,0.786609043335452,-0.7542946704707224,ACC-tumor
32,1.0406903889575132,0.450765409320197,ACC-tumor
33,-0.7771903615092979,-0.8350943571028794,ACC-tumor
34,-1.63863913949177,-1.900978639197678,ACC-tumor
35,3.428948488674353,1.0563340971327997,ACC-tumor
36,10.005694568541523,4.3475876801313245,ACC-tumor
37,-1.6547793650302332,-1.8135333394472894,ACC-tumor
38,3.161201850412832,0.2306009634226346,ACC-tumor
39,-2.952246508317566,-3.1060468091043765,ACC-tumor
40,1.5676612637626484,-0.7331405306559181,ACC-tumor
41,-2.4290198643556336,-3.2392277722911804,ACC-tumor
42,-0.8841938268176869,-0.7769404893441781,ACC-tumor
43,-0.16186518173390352,0.9140608829615036,ACC-tumor
44,1.743862952526995,0.46202172147816994,ACC-tumor
45,8.617504663663807,6.965593949434731,ACC-tumor
46,-3.0094038147538176,-2.5296302595397444,ACC-tumor
47,6.010490571377512,2.945343131069628,ACC-tumor
48,-0.4582985654461468,0.07701296789320805,ACC-tumor
49,0.9653818795045037,-0.019170871450420332,ACC-tumor
50,-1.6580482868267845,-0.9194920646751028,ACC-tumor
51,0.2800159583984973,0.7577103862781055,ACC-tumor
52,0.7415990217168855,0.2208584922991081,ACC-tumor
53,0.48207557042039834,2.4767976171206065,ACC-tumor
54,0.2517034318119422,0.02428727176425307,ACC-tumor
55,-0.9081961073385018,-1.898986514502995,ACC-tumor
56,-1.9977682451513419,-2.967563761663529,ACC-tumor
57,7.693656241145347,4.541691083036859,ACC-tumor
58,-2.4835809393770574,-2.2944448765432766,ACC-tumor
59,7.958216243551805,2.3893543558018986,ACC-tumor
60,-2.5819642058391703,-1.9758476850237483,ACC-tumor
61,9.748496614319757,4.5248103204471475,ACC-tumor
62,1.1518028070033401,-0.6610780377985404,ACC-tumor
63,2.0030595227283645,-0.5110205442841652,ACC-tumor
64,-3.1924482872048543,-3.259030765013739,ACC-tumor
65,0.9120873847298143,-1.1818221140633423,ACC-tumor
66,0.9568739623521828,1.1837634916620279,ACC-tumor
67,9.311133484664754,5.600404823934281,ACC-tumor
68,-0.07558161959013376,-1.5888494311658123,ACC-tumor
69,1.7202221030882858,-1.3451241366677935,ACC-tumor
70,-2.2218124942135016,-2.753723282110348,ACC-tumor
71,-4.023870157835023,-3.3946504133239666,ACC-tumor
72,3.458793656746294,1.2198333272585338,ACC-tumor
73,2.6909722563375293,1.087836372449592,ACC-tumor
74,1.5397654699595893,0.4422774367948605,ACC-tumor
75,2.067260971766211,-0.7615743892054898,ACC-tumor
76,7.070333134049986,4.7688968002110474,ACC-tumor
77,0.6641634680324232,-1.477454624505801,ACC-tumor
78,-0.8815832065561753,-0.3510898619310266,ACC-tumor
79,-0.6199398909558161,-2.854735901873096,BLCA-tumor
80,1.1981574675091176,-0.5407313022082649,BLCA-tumor
81,-3.8114831761572754,-1.742282453650108,BLCA-tumor
82,3.0169376023479604,0.04042797777047781,BLCA-tumor
83,3.5099056576412853,1.5697183209794932,BLCA-tumor
84,5.010869571821616,0.8435863324540399,BLCA-tumor
85,1.996140350903746,1.5848465895927315,BLCA-tumor
86,3.339998593665521,-4.595361832918939,BLCA-tumor
87,0.789405424150255,-1.4594767373866635,BLCA-tumor
88,0.38193893988193467,-3.051551672893894,BLCA-tumor
89,0.6816188947713965,-1.2138515720202743,BLCA-tumor
90,-0.22275513521124843,-4.244798261082168,BLCA-tumor
91,-1.491357055992602,-5.378303301461336,BLCA-tumor
92,5.569547667944489,-1.3411466868036492,BLCA-tumor
93,-0.0598995359934509,-0.8009651664021789,BLCA-tumor
94,5.103250660566402,4.282769650765807,BLCA-tumor
95,3.7919579230491665,3.034516189073187,BLCA-tumor
96,-3.9621455866141044,-2.8221641115603116,BLCA-tumor
